"id","downloads","likes","lastModified","author"
"AtAndDev/UVOX-96k-Llama-32-3B-Instruct",8,0,,
"bigdefence/Bigvox-Midm-Audio",7,1,,
"AtAndDev/UVOX-50k-Llama-3.2-1B-Instruct",7,0,,
"AtAndDev/UVOX-12k-Llama-32-3B-Instruct",7,0,,
"govnejri/Estimin3n",6,0,,
"AtAndDev/UVOX-95k-Llama-3.2-1B-Instruct",6,0,,
"AtAndDev/UVOX-40k-Llama-32-3B-Instruct",6,0,,
"bigdefence/bigvox",5,1,,
"bigdefence/Bigvox-Kanana-Audio",5,1,,
"AtAndDev/UVOX-Qwen3-4B-Instruct-2507",5,0,,
"AtAndDev/UVOX-5k-Llama-3.2-1B-Instruct",5,0,,
"AtAndDev/UVOX-90k-Llama-3.2-1B-Instruct",5,0,,
"zhuexe/ultravox-v0_5-llama-3_3-70b-tempfix",4,0,,
"ReallyFloppyPenguin/shuka-1-incase-they-remove-it",4,0,,
"Phonepadith/whisper-large-lao-finetuned-v1",4,0,,
"warshanks/Voxtral-Mini-3B-2507-FP8",2,0,,
"reach-vb/test-attt-tag",0,0,,
"hocuf/audio_to_speech_whisper",0,1,,
"Flex-Data/bm-v1",0,3,,
"zayoub/testin_hmi",0,0,,
"WeMake/Clarity",0,7,,
"Menlo/Ichigo-whisper-v0.1",0,25,,
"dairyproduct/helloworld",0,0,,
"Shiina-Mahiru/Firefly-Neko",0,3,,
"DhirajN/demo",0,0,,
"nvidia/audio-flamingo-2",0,47,,
"Shiina-Mahiru/Firefly-Neko-zipped",0,0,,
"nvidia/audio-flamingo-2-0.5B",0,13,,
"SaraAlthubaiti/TinyOctopus",0,8,,
"WeMake/Val",0,4,,
"Lingalingeswaran/transcription_pipeline",0,0,,
"gowtham1800/vrmock",0,0,,
"aljshwby7777/ZkryaBt",0,0,,
"yxdu/llm-srt",0,2,,
"mispeech/GLAP",0,1,,
"leduckhai/Sentiment-Reasoning",0,3,,
"slprl/StresSLM",0,3,,
"DeepSiteOptional/DEVtesting",0,1,,
"Akshay3399/Chiiki",0,0,,
"ahmedferah/darija_model",0,0,,
"ICTNLP/StreamUni-Phi4",0,6,,
"AINovice2005/Voxtral-Mini-3B-2507-smashed",0,0,,
"urroxyz/Voxtral-Mini-3B-2507_timestamped",0,2,,
"allenai/OLMoASR",0,69,,
"nvidia/audio-flamingo-2-SoundCoT",0,9,,
"bilguun/gemma-3n-E2B-it-audio-en-mn",0,1,,
"munsongo/Loki",0,0,,
"lcmiooooooo/test_HW3",0,0,,
"ArabicSpeech/Octopus",0,1,,
