id,author,downloads,likes,params_billions,tensor_types,storage_gb,architecture,model_type,library_name,gated,lastModified
onnx-community/Voxtral-Mini-3B-2507-ONNX,onnx-community,265,26,0,,33.36,VoxtralForConditionalGeneration,voxtral,transformers.js,False,2025-07-24T16:33:16.000Z
fixie-ai/ultravox-v0_5-glm-4_5-355b,fixie-ai,250,1,0.69,BF16,1.3,UltravoxModel,ultravox,transformers,False,2025-09-12T04:38:20.000Z
sarvamai/shuka-1,sarvamai,232,75,8.73,BF16,16.25,ShukaModel,shuka,transformers,False,2025-03-14T15:56:31.000Z
amaai-lab/SonicVerse,amaai-lab,197,15,0,,2.43,MistralForCausalLM,mistral-lmm,peft,False,2025-06-19T05:36:29.000Z
onnx-community/ultravox-v0_5-llama-3_2-1b-ONNX,onnx-community,178,5,0,,20.88,UltravoxModel,ultravox,transformers.js,False,2025-03-31T15:59:39.000Z
mispeech/midashenglm-7b-0804-bf16,mispeech,154,0,8.28,BF16,15.44,MiDashengLMModel,midashenglm,,False,2025-11-11T14:19:11.000Z
gaianet/SeaLLMs-Audio-7B-GGUF,gaianet,148,0,0,,68.87,Qwen2AudioForConditionalGeneration,qwen2_audio,,False,2025-05-27T06:19:36.000Z
stepfun-ai/Step-Audio-Chat,stepfun-ai,144,458,131.95,BF16,245.86,Step1ForCausalLM,step1,,False,2025-02-17T15:51:26.000Z
fixie-ai/ultravox-v0_3-llama-3_2-1b,fixie-ai,139,6,0.03,BF16,0.07,UltravoxModel,ultravox,transformers,False,2025-05-06T20:37:16.000Z
mispeech/r1-aqa,mispeech,137,17,8.4,BF16,15.65,Qwen2AudioForConditionalGeneration,qwen2_audio,transformers,False,2025-03-28T22:48:13.000Z
fixie-ai/ultravox-v0_4_1-mistral-nemo,fixie-ai,103,26,0.05,BF16,0.13,UltravoxModel,ultravox,transformers,False,2025-05-06T23:22:23.000Z
TransWithAI/Step-Audio-R1-NVFP4A16,TransWithAI,101,0,19.83,"BF16, F32, F8_E4M3, U8",20.61,StepAudio2ForCausalLM,step_audio_2,transformers,False,2025-11-30T13:13:38.000Z
fixie-ai/ultravox-v0_5-llama-3_3-70b,fixie-ai,84,32,0.7,BF16,1.33,UltravoxModel,ultravox,transformers,False,2025-09-12T04:37:22.000Z
fixie-ai/ultravox-v0_4-llama-3_1-70b,fixie-ai,81,4,0.05,BF16,131.64,UltravoxModel,ultravox,transformers,False,2025-05-06T23:21:51.000Z
Yi3852/MuFun-ACEStep,Yi3852,81,2,8.92,BF16,49.86,TinyLlavaForConditionalGeneration,tinyllava,,False,2025-08-21T09:13:23.000Z
zeroMN/SHMT,zeroMN,80,1,0,,4.63,,transformer,transformers,False,2025-01-20T12:06:32.000Z
mlinmg/Qwen-2-Audio-Instruct-dynamic-fp8,mlinmg,70,1,8.4,"BF16, F8_E4M3",14.27,Qwen2AudioForConditionalGeneration,qwen2_audio,transformers,False,2025-04-24T14:30:27.000Z
FriendliAI/ultravox-v0_5-llama-3_2-1b,FriendliAI,57,0,0.68,BF16,5.69,UltravoxModel,ultravox,transformers,False,2025-04-15T03:58:24.000Z
neody/ultravox-gemma-2-2b-jpn-it,neody,53,1,0.05,BF16,1.06,UltravoxModel,ultravox,,False,2025-01-14T04:50:29.000Z
Menlo/mini-Ichigo-llama3.2-3B-s-instruct,Menlo,52,32,3.21,BF16,6.0,LlamaForCausalLM,llama,,False,2024-11-19T12:20:15.000Z
Yi3852/MuFun-Instruct,Yi3852,52,0,8.92,BF16,16.62,TinyLlavaForConditionalGeneration,tinyllava,,False,2025-08-28T07:58:03.000Z
stduhpf/Voxtral-Small-24B-2507-GGUF,stduhpf,47,2,0,,37.24,,,,False,2025-07-28T18:49:33.000Z
MohamedRashad/Voxtral-Mini-3B-2507-transformers,MohamedRashad,46,4,4.68,"F32, BF16",8.73,VoxtralForConditionalGeneration,voxtral,transformers,False,2025-07-18T06:23:08.000Z
AXERA-TECH/3D-Speaker-MT.axera,AXERA-TECH,46,0,0,,7.09,,,,False,2025-12-02T09:30:51.000Z
mispeech/midashenglm-7b-1021-w4a16-gptq,mispeech,45,0,2.62,"I64, I32, BF16",6.42,MiDashengLMModel,midashenglm,,False,2025-10-31T02:15:09.000Z
FriendliAI/ultravox-v0_5-llama-3_3-70b,FriendliAI,40,0,0.7,BF16,134.04,UltravoxModel,ultravox,transformers,False,2025-04-15T04:07:13.000Z
Menlo/Ichigo-llama3.1-s-instruct-v0.3-phase-3,Menlo,38,35,8.03,BF16,29.93,LlamaForCausalLM,llama,,False,2024-11-19T12:19:51.000Z
MohamedRashad/Voxtral-Small-24B-2507-transformers,MohamedRashad,37,2,24.26,"F32, BF16",45.21,VoxtralForConditionalGeneration,voxtral,vllm,False,2025-07-18T06:22:41.000Z
Menlo/Ichigo-llama3.1-s-instruct-v0.3-phase-2,Menlo,35,5,8.03,BF16,14.97,LlamaForCausalLM,llama,,False,2024-11-19T12:21:26.000Z
fixie-ai/ultravox-v0_4_1-llama-3_1-70b,fixie-ai,34,24,0.06,BF16,0.14,UltravoxModel,ultravox,transformers,False,2025-05-06T23:22:16.000Z
FriendliAI/ultravox-v0_5-llama-3_1-8b,FriendliAI,32,0,0.69,BF16,20.12,UltravoxModel,ultravox,transformers,False,2025-04-15T04:07:28.000Z
Menlo/Ichigo-llama3.1-s-base-v0.3,Menlo,31,4,8.03,BF16,14.97,LlamaForCausalLM,llama,,False,2024-11-19T12:21:38.000Z
Menlo/Ichigo-llama3.1-s-instruct-v0.4,Menlo,31,20,8.03,BF16,14.98,LlamaForCausalLM,llama,,False,2024-12-13T11:41:13.000Z
mispeech/midashenglm-7b-1021-fp32,mispeech,30,0,8.28,F32,30.86,MiDashengLMModel,midashenglm,,False,2025-10-31T02:15:09.000Z
mispeech/midashenglm-7b-1021-fp8,mispeech,27,1,8.28,"BF16, F8_E4M3",9.36,MiDashengLMModel,midashenglm,,False,2025-10-31T02:15:09.000Z
mispeech/midashenglm-7b-0804-fp8,mispeech,26,0,8.28,"BF16, F8_E4M3",9.37,MiDashengLMModel,midashenglm,,False,2025-10-31T02:15:08.000Z
Menlo/Speechless-llama3.2-v0.1,Menlo,21,11,1.24,BF16,2.33,LlamaForCausalLM,llama,,False,2024-12-30T11:06:22.000Z
fixie-ai/ultravox-v0_4_1-llama-3_3-70b,fixie-ai,20,11,0.06,BF16,0.14,UltravoxModel,ultravox,transformers,False,2025-05-06T23:23:01.000Z
FreedomIntelligence/Soundwave,FreedomIntelligence,20,13,9.4,F16,17.53,SoundwaveForCausalLM,Soundwave,,False,2025-03-16T14:01:03.000Z
